"x","v1","::v1","v2","::v2","v3","::v3","v4","::v4","v5","::v5","v6","::v6","v7","::v7","v8","::v8","v9","::v9","v10","::v10","v11","::v11","v12","::v12","v13","::v13","v14","::v14","v15","::v15","v16","::v16","v17","::v17","v18","::v18","v19","::v19","v20","::v20","v21","::v21","v22","::v22","v23","::v23","v24","::v24","v25","::v25","v26","::v26","v27","::v27","v28","::v28","v29","::v29","v30","::v30","v31","::v31","v32","::v32","v33","::v33","v34","::v34","v35","::v35","v36","::v36","v37","::v37","v38","::v38","v39","::v39"
0,,5,,0,,5,,0,,0,,5,,5,,5,,1.86175,,1.86175,,1.86175,,5,,9.7378399999999995e-10,,1.86175,,1.86175,,1.86175,,5,,5,,1.86175,,1.86175,,1.86175,,7.1044099999999999e-10,,5,,5,,1.3482400000000001,,7.1044099999999999e-10,,5,,0.36816300000000002,,5,,7.1044099999999999e-10,,1.8179000000000001e-09,,1.10294,,5,,5,,7.2458500000000003e-12,,5,,5,,4.4984900000000003,,5
1e-10,,5,,1,,5,,0,,0,,5,,5.1690399999999999,,5.0375800000000002,,1.99708,,1.99308,,1.7341899999999999,,5.1697499999999996,,0.018992599999999998,,2.0014699999999999,,2.0019900000000002,,1.7307300000000001,,5.1696299999999997,,5.0332999999999997,,1.9999400000000001,,1.9972399999999999,,1.7327300000000001,,0.00107105,,5.00284,,5.0109899999999996,,1.3583799999999999,,0.00030973099999999999,,4.9998399999999998,,0.36175600000000002,,4.99899,,5.7038499999999999e-05,,-5.2884099999999999e-06,,1.10297,,5.0001199999999999,,5.0020699999999998,,2.21843e-05,,5.0142600000000002,,5.0173199999999998,,4.5328200000000001,,5.0104800000000003
2.0000000000000001e-10,,5,,2,,5,,0,,0,,5,,4.8415900000000001,,5.04711,,2.0786699999999998,,2.1661899999999998,,1.4287399999999999,,4.7868500000000003,,0.092676900000000006,,1.85141,,2.0891899999999999,,1.5057199999999999,,4.8413599999999999,,5.0247200000000003,,2.0832999999999999,,2.17266,,1.4201600000000001,,0.00063710899999999996,,5.0126600000000003,,5.0086599999999999,,1.3646499999999999,,-0.00030818600000000001,,4.99796,,0.327463,,4.9965400000000004,,0.00022614299999999999,,-1.44913e-05,,1.1029100000000001,,5.0002300000000002,,5.0081300000000004,,3.2001400000000002e-05,,5.0285200000000003,,5.0318100000000001,,4.5832899999999999,,5.0122099999999996
3e-10,,5,,3,,5,,0,,0,,5,,3.3454199999999998,,4.9691099999999997,,2.0121099999999998,,2.4666100000000002,,1.0405500000000001,,2.9424100000000002,,0.20630899999999999,,1.0653999999999999,,1.84314,,1.89001,,3.3375400000000002,,4.9255899999999997,,2.01627,,2.4843899999999999,,1.0248299999999999,,-0.00236346,,5.0189500000000002,,4.9784499999999996,,1.3467499999999999,,-0.001694,,4.9947800000000004,,0.269513,,4.9932699999999999,,0.00013191599999999999,,-3.62932e-05,,1.10277,,5.0003000000000002,,5.0148599999999997,,1.25076e-05,,5.0192300000000003,,5.0594400000000004,,4.6662499999999998,,4.9888700000000004
4.0000000000000001e-10,,5,,4,,5,,0,,0,,5,,0.31710199999999999,,4.2088200000000002,,2.43309,,3.0935899999999998,,0.94300399999999995,,0.12669800000000001,,0.11153299999999999,,0.27548099999999998,,1.0825400000000001,,3.3900399999999999,,0.31620599999999999,,4.1838300000000004,,2.42503,,3.1593300000000002,,0.94401299999999999,,-0.018079000000000001,,4.9893599999999996,,4.9236899999999997,,1.2916700000000001,,-0.0036078400000000002,,4.9889000000000001,,0.149476,,4.9863,,-0.00088776399999999998,,-9.75719e-05,,1.10259,,4.9997199999999999,,5.0015599999999996,,-2.4494700000000001e-05,,4.7768499999999996,,5.1268599999999998,,4.83345,,4.7626099999999996
5.0000000000000003e-10,,5,,5,,5,,0,,0,,5,,0.10330400000000001,,3.9629500000000002,,3.2719399999999998,,3.76864,,0.26827499999999999,,0.048700399999999998,,0.095349100000000006,,0.20554700000000001,,0.21473700000000001,,4.3603399999999999,,0.103113,,3.9392299999999998,,3.2576900000000002,,3.8523100000000001,,0.27410699999999999,,-0.0120077,,4.9957500000000001,,4.9272999999999998,,1.2316100000000001,,8.4090899999999998e-05,,4.9873799999999999,,0.080571599999999993,,4.9895399999999999,,-8.0183699999999996e-05,,0.000141781,,1.10294,,4.9998800000000001,,5.0018000000000002,,1.8425000000000001e-05,,4.5647099999999998,,5.2072500000000002,,4.9782299999999999,,4.5494300000000001
6e-10,,5,,5,,5,,0,,0,,5,,0.027572099999999999,,4.0111699999999999,,3.63896,,4.3129900000000001,,0.082645499999999997,,-0.0042259100000000003,,0.042696600000000001,,0.071262699999999998,,0.037735100000000001,,4.7901199999999999,,0.0273341,,3.9961000000000002,,3.62134,,4.3809100000000001,,0.082374199999999995,,-0.00217059,,4.9921699999999998,,4.9741299999999997,,1.2201,,0.0020317500000000001,,4.9889599999999996,,0.050114600000000002,,4.9921199999999999,,-3.4965300000000002e-05,,3.7339599999999997e-05,,1.1031299999999999,,4.9998399999999998,,4.9986100000000002,,5.5054599999999998e-06,,4.5233800000000004,,5.2810300000000003,,5.0206999999999997,,4.5156400000000003
6.9999999999999996e-10,,5,,5,,5,,0,,0,,5,,0.0221534,,4.1552100000000003,,3.9042599999999998,,4.65564,,0.038834599999999997,,-0.00130689,,0.021417700000000001,,0.031338699999999997,,0.0095245499999999997,,4.9379799999999996,,0.0221102,,4.1429299999999998,,3.8882699999999999,,4.6903300000000003,,0.037936600000000001,,0.00266679,,4.9954499999999999,,4.9928999999999997,,1.2184999999999999,,0.0012895999999999999,,4.9908700000000001,,0.034029999999999998,,4.9937800000000001,,9.4003899999999996e-05,,-1.6560300000000001e-05,,1.1030599999999999,,4.9999099999999999,,4.9984400000000004,,3.5302500000000003e-05,,4.56813,,5.3125400000000003,,5.01816,,4.5624900000000004
8.0000000000000003e-10,,5,,5,,5,,0,,0,,5,,0.017689,,4.2967000000000004,,4.1107399999999998,,4.8342499999999999,,0.0214104,,-0.00048675600000000003,,0.011794300000000001,,0.0151431,,0.0023276299999999998,,4.9830500000000004,,0.017700799999999999,,4.2859100000000003,,4.0968799999999996,,4.8503400000000001,,0.020816000000000001,,0.0040338300000000004,,4.9977499999999999,,4.9982600000000001,,1.2181,,0.00059654800000000002,,4.9926199999999996,,0.023088600000000001,,4.9950999999999999,,0.000118663,,-1.5271e-05,,1.1029899999999999,,4.9999599999999997,,4.9988799999999998,,-1.07551e-05,,4.6312199999999999,,5.3290100000000002,,5.0111600000000003,,4.6262100000000004
8.9999999999999999e-10,,5,,5,,5,,0,,0,,5,,0.014263899999999999,,4.4227400000000001,,4.2793200000000002,,4.9215299999999997,,0.013543100000000001,,-0.000195875,,0.0074144199999999997,,0.0086453099999999998,,0.00056361400000000004,,4.9953900000000004,,0.014375799999999999,,4.4133599999999999,,4.2677300000000002,,4.9285100000000002,,0.0132952,,0.0040383600000000004,,4.9989400000000002,,4.9995799999999999,,1.2179800000000001,,0.00027719099999999998,,4.9941899999999997,,0.0160474,,4.9962400000000002,,0.000108025,,-6.73884e-06,,1.1029599999999999,,4.9999900000000004,,4.9992999999999999,,-3.9438299999999998e-06,,4.6929999999999996,,5.3370899999999999,,5.0059500000000003,,4.6884300000000003
